baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,genes,gene_id
1.0690166869963131,1.707665799809164,2.007849956920285,-0.8504947264229072,0.39505009114410095,,A1BG,A1BG
92.7410073955559,-0.13078439079250295,0.2500401081130152,0.5230536483906412,0.6009369201004293,0.7437111279167393,NAT1,NAT1
587.6759098290532,-0.08413186262366146,0.13887776942065402,0.6057979111748989,0.5446489569695809,0.6984274893815688,AAMP,AAMP
780.2276748733877,-0.07707144441856827,0.14049317849249715,0.5485778401880499,0.5832951967733393,0.7301613782784399,AARS1,AARS1
226.8137589380608,-0.24851766438066342,0.15908197846895333,1.5621987278035045,0.11824118023288159,0.25162645790205,ABAT,ABAT
39.604511533316405,-1.1146468224791912,0.3677168551588844,3.0312638837226284,0.002435323086283194,0.014246907672678255,ABCA1,ABCA1
216.39011260361485,0.14755412841200308,0.17496879495614462,-0.843316823716978,0.39905127620546915,0.5721182198662705,ABCA2,ABCA2
15.242624846693662,-0.6842927074652904,0.47330116791118865,1.445787067218251,0.14823693460645423,0.2945388616555227,ABCA3,ABCA3
29.285305101658192,-0.07761114569328781,0.3266070582580361,0.23762850107167946,0.8121692429444968,0.8917713434822464,ABCB7,ABCB7
861.6052324037751,-0.3678097958130406,0.14075611248589692,2.613099987752882,0.008972504802286991,0.038747131808150086,ABCF1,ABCF1
1050.1176068839898,-0.1808506828389862,0.11994827738516167,1.5077388919747714,0.13162136741922947,0.27097942528419905,ABL1,ABL1
1.5616943803485512,-1.091534252485277,1.492922876504608,0.7311390760123487,0.4646942084504236,,AOC1,AOC1
761.692233337993,-0.5668237520866198,0.14035120091368788,4.038609918522898,5.3768896032499463e-05,0.0006687217299799731,ABL2,ABL2
1.3296474931371178,0.19301618716944557,1.3903158916590028,-0.13882901600090886,0.8895852645530148,,ABO,ABO
3984.997720975057,-0.1213805082312628,0.13158692704526798,0.9224359209293336,0.3563012402466189,0.5338301481979344,ABR,ABR
839.2114154022349,0.00721684776177911,0.13879226402710107,-0.05199747847884319,0.9585307025801443,0.9774795127299931,ACAA1,ACAA1
1434.8383516810345,0.03804429139249521,0.12748699428357618,-0.29841703937164954,0.7653848856554534,0.8608129792819051,ACACA,ACACA
41.78582810494142,0.03706672861587615,0.2911164492857807,-0.12732612226761808,0.8986822859852801,0.9435596831948637,ACACB,ACACB
367.9875817529129,-0.3988511870516915,0.23268345695394416,1.71413641637032,0.08650367507409061,0.20169541197636157,ACADM,ACADM
57.63017242820906,-0.16474817613314782,0.24424221939467444,0.6745278377401612,0.4999757936524945,0.660943992156282,ACADS,ACADS
916.9745820910643,0.17415067411274948,0.15086498924079278,-1.1543478376867866,0.2483575914018098,0.41766378367029144,ACADSB,ACADSB
654.4061663072755,0.18785437872474012,0.16131684585546993,-1.1645056517720795,0.24421915428250518,0.4130528306450453,ACADVL,ACADVL
346.1549239807777,-0.18609716021782322,0.16521329832422613,1.126405453467875,0.25999393952306754,0.4314994714656659,ACAT1,ACAT1
